,api,knowledge_type,post_id,cleaned_post,creation_date
178,Model,directive,60013993,"Look at TensorFlow's tutorial on saving and loading models. You can use model.save(""path""), and if you do not include an extension, the model will be saved in the SavedModel format.

",1580531211
179,Model,directive,61149485,"Assuming tensorflow 2.0:

",1586557108
180,Model,pattern,68001567,"Here is the model

",1623841991
181,Model,pattern,55409692,"train.py

model.py

",1553826729
182,Model,pattern,70065925,"If you using Keras or Tf:
To save model:

To load and compile model for example:

",1637584957
183,Model,pattern,61213569,"This is what you need to load the model

",1586884909
184,Model,pattern,69432000,"In Tensorflow 1 use like,

",1633330627
185,Model,pattern,65896466,"There are multiple ways you can deploy a tensorflow model. Read through the following official documentation.
TensorFlow - Serving Models
",1611640161
186,Model,pattern,60982283,"In Keras, to save model weights, do:

To load model weights:

Also see additional example on saving/loading weights by layer name from here.
",1585786119
187,Model,pattern,57274899,"Here you have two models, in Tensorflow and in Keras, that are correspondent:

Tensorflow

Keras

",1564499542
188,Model,pattern,60013993,"Look at TensorFlow's tutorial on saving and loading models. You can use model.save(""path""), and if you do not include an extension, the model will be saved in the SavedModel format.

",1580531211
189,Model,pattern,62793810,"Try this

Then load model using

",1594207749
190,Model,environment,55409692,"train.py

model.py

",1553826729
191,Model,environment,68001567,"Here is the model

",1623841991
192,Model,environment,61213569,"This is what you need to load the model

",1586884909
193,Model,environment,61149485,"Assuming tensorflow 2.0:

",1586557108
194,Model,environment,68957658,"https://www.tensorflow.org/tutorials/images/classification

",1630087107
195,Model,environment,70065925,"If you using Keras or Tf:
To save model:

To load and compile model for example:

",1637584957
196,Model,environment,69432000,"In Tensorflow 1 use like,

",1633330627
197,Model,environment,59837821,"with TENSORFLOW 2

",1579598657
198,Model,environment,72898299,"Example:

Source: TensorFlow docs
",1657198868
199,Model,environment,72838435,"Tensorflow model usually expects a batch of images. Thank means, after your preprocess step, you need to add one more dimension for the batch and add the image as first in the set. You can use numpy and do this by:

",1656758767
200,Model,alternative,55409692,"train.py

model.py

",1553826729
201,Model,alternative,68001567,"Here is the model

",1623841991
202,Model,alternative,61149485,"Assuming tensorflow 2.0:

",1586557108
203,Model,alternative,63071077,"conv.shape or maybe tf.shape(conv)
",1595584054
204,Model,alternative,69432000,"In Tensorflow 1 use like,

",1633330627
205,Model,alternative,59837821,"with TENSORFLOW 2

",1579598657
206,Model,alternative,70783279,"Replace this code in model.py

",1642669076
207,Model,alternative,57274899,"Here you have two models, in Tensorflow and in Keras, that are correspondent:

Tensorflow

Keras

",1564499542
208,Model,alternative,57539537,"Tensorflow_probabilty.Uniform is a continuous distribution, not discrete. So it’s not really going to model dice rolls appropriately.
",1566071957
209,Model,alternative,64059929,"Try tf.data.experimental.cardinality:

",1601019820
